GRIDCODE,XCOO,YCOO,AREA,PERIMETER,X_COORD,Y_COORD,OceanTag,LenCoast,PctLand,NPPMN,NPPMX,PctLand,temp,wetdays,Plants,Mammals,Precip_ratio_end21st_start_21st_c,temp_2091_2099,wetdays_2091_2099,wetdays_2091_2099_capped,Amphib,Reptile,Bird,PlantsNorm,AmphibsNorm,ReptilesNorm,MammalsNorm,LandEctoNorm,LandAllNorm
129,39,3,791315.204,3558.236,128,40.03754,Pacific,8898.85806,0.593478,5186.165462,18449,0.593478,5.738156168,9.697604987,2234.77,111,1.23758361,13.32203629,12.00159699,12.00159699,33,5,362,0.358794007,0.055649241,0.014204545,0.26056338,0.142882598,0.172302793
130,40,3,791315.204,3558.236,136,40.03754,Pacific,4734.047328,0.256502,7333.110754,17323,0.256502,8.121572104,15.44747833,2108.76,114,1.20122436,15.24524722,18.55588727,18.55588727,41,5,354,0.338563007,0.069139966,0.014204545,0.267605634,0.140635839,0.172378288
131,41,3,791315.204,3558.236,144,40.03754,Pacific,5609.65013,0.189215,7529.866332,17544,0.189215,7.362332375,20.27109674,1701.35,76,1.18667194,14.59488778,24.05514169,24.05514169,21,2,279,0.273153024,0.035413153,0.005681818,0.178403756,0.104749332,0.123162938
132,42,3,791315.204,3558.236,152,40.03754,Pacific,94.30351121,0.000543971,5638.974963,10798,0.000543971,3.561805556,19.57361111,1301.44,13,1.11084941,9.7052475,21.74333435,21.74333435,1,0,151,0.208947172,0.001686341,0,0.030516432,0.070211171,0.060287486
133,43,3,791315.204,3558.236,160,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
134,44,3,791315.204,3558.236,168,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
135,45,3,791315.204,3558.236,176,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
136,1,4,791315.204,3558.236,-176,30.1738,Pacific,28.91243774,0.000011101,3950.6,5758,0.000011101,21.90555556,15.34166667,0,0,1.03381157,26.58001099,15.86039251,15.86039251,0,0,51,0,0,0,0,0,0
137,2,4,791315.204,3558.236,-168,30.1738,Pacific,7.862663546,5.22E-06,3250,3250,0.00000522,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
138,3,4,791315.204,3558.236,-160,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
139,4,4,791315.204,3558.236,-152,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
140,5,4,791315.204,3558.236,-144,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
141,6,4,791315.204,3558.236,-136,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
142,7,4,791315.204,3558.236,-128,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
143,8,4,791315.204,3558.236,-120,30.1738,Pacific,1433.592756,0.0875136,4765.506701,23997,0.0875136,14.92556689,3.120181406,1932.69,95,0.97834354,21.81944817,3.052609322,3.052609322,24,73,372,0.310294835,0.040472175,0.207386364,0.223004695,0.186051125,0.195289517
144,9,4,791315.204,3558.236,-112,30.1738,Pacific,5115.109974,0.735881,1476.604984,11395,0.735881,18.78342558,3.207759328,3406.13,210,0.67589064,26.20732086,2.168094505,2.168094505,51,204,542,0.546856737,0.086003373,0.579545455,0.492957746,0.404135188,0.426340828
145,10,4,791315.204,3558.236,-104,30.1738,Land,0,1,2122.905206,9742,1,17.14423805,4.209081527,3517.8,205,0.74197217,24.56781085,3.123021354,3.123021354,57,161,532,0.56478544,0.096121417,0.457386364,0.481220657,0.372764407,0.399878469
146,11,4,791315.204,3558.236,-96,30.1738,Atlantic,4264.404718,0.730674,4295.521432,16655,0.730674,19.47561242,6.55608049,2072.52,132,0.78935058,25.88551934,5.175045937,5.175045937,82,107,459,0.332744647,0.138279933,0.303977273,0.309859155,0.258333951,0.271215252
147,12,4,791315.204,3558.236,-88,30.1738,Atlantic,7706.503153,0.510557,7696.175795,18019,0.510557,18.21984985,9.094084084,2277.05,76,0.85108106,23.50415616,7.739802722,7.739802722,88,59,332,0.365582093,0.148397976,0.167613636,0.178403756,0.227197902,0.214999365
148,13,4,791315.204,3558.236,-80,30.1738,Atlantic,7153.693984,0.382888,8684.796405,17722,0.382888,19.55560764,9.286649306,2487.93,80,0.99947771,24.12205639,9.281798982,9.281798982,82,63,376,0.399439036,0.138279933,0.178977273,0.187793427,0.238898747,0.226122417
149,14,4,791315.204,3558.236,-72,30.1738,Atlantic,0,0,0,0,0,16.74444444,9.138888889,1865.69,2,1.05947042,21.1,9.68238245,9.68238245,0,0,33,0.299537935,0,0,0.004694836,0.099845978,0.076058193
150,15,4,791315.204,3558.236,-64,30.1738,Atlantic,114.3129683,8.00E-05,6587.46875,15423,0.00008,21.33611111,11.225,0,1,0.97450382,25.89299927,10.93880538,10.93880538,0,0,19,0,0,0,0.002347418,0,0.000586854
151,16,4,791315.204,3558.236,-56,30.1738,Atlantic,0,0,0,0,0,17.40555556,13.83333333,0,0,0.96326315,22.55001221,13.32514024,13.32514024,0,0,7,0,0,0,0,0,0
